Canyon,Cuzz,DDoiV,GIDEON,Guwon,Lucid,Oner,Peanut,Pyosik,Sponge,Sylvie,Willer
KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR
JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE,JUNGLE
39,43,4,37,2,42,38,41,44,43,44,43
87.2%,41.9%,0%,21.6%,100%,50%,78.9%,73.2%,59.1%,25.6%,31.8%,37.2%
6.7,2.6,1.4,2.4,7.8,3.7,4.2,5.7,3.9,1.8,2.3,3.4
1.7,2,1,1.3,4.5,1.5,2.4,2,2.7,1.3,1.5,2.4
1.6,3.3,3.8,2.9,2,2.3,2.5,1.8,2.5,3.4,3,2.4
9.1,6.6,4.3,5.8,11,7.1,7.9,8.4,7.1,4.7,5.5,5.8
5.7,6.1,5.2,5.6,5.5,5.3,6.1,5.8,5.8,5.3,5.3,6.1
348,332,294,308,378,315,360,336,340,301,308,337
71.3%,73.6%,77%,73.2%,69%,70.5%,64.5%,71.2%,68.2%,71.6%,73.6%,70.4%
12.2,12.9,13.8,12.9,13.2,10.3,11.7,11.4,13.2,12.7,12.2,15
301,291,261,269,382,222,304,270,310,260,260,320
1.68,1.82,1.71,1.54,1.39,1.64,1.77,1.65,1.64,1.51,1.7,1.9
0.56,0.46,0.55,0.38,0.34,0.52,0.47,0.38,0.46,0.43,0.45,0.56
0.37,0.5,0.37,0.42,0.29,0.39,0.43,0.43,0.38,0.37,0.43,0.51
0.37,0.34,0.39,0.32,0.36,0.46,0.3,0.3,0.39,0.35,0.42,0.43
2,-7,-406,-16,166,26,6,12,47,-66,-133,162
2,1,-12,2,-12,-7,8,-1,0,0,-8,5
161,30,-623,88,100,-232,200,-42,1,-81,-169,145
25.6%,18.6%,50%,24.3%,100%,54.8%,28.9%,34.1%,34.1%,32.6%,38.6%,37.2%
5.1%,4.7%,0%,10.8%,0%,4.8%,13.2%,9.8%,4.5%,9.3%,6.8%,2.3%
0,0,0,0,0,0,0,0,1,0,0,0
2,2,-,4,-,-,5,4,4,1,3,5
