Bdd,Bulldog,Calix,Callme,Chovy,Clozer,FIESTA,Faker,Karis,Kyeahoo,Pullbae,SeTab,ShowMaker,Zeka
KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR
MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID,MID
44,43,2,35,39,43,7,40,40,18,1,25,42,41
59.1%,41.9%,50%,34.3%,87.2%,37.2%,14.3%,80%,20%,33.3%,0%,20%,50%,73.2%
4.7,3.5,1.3,2.1,6.4,3,2.6,5.7,2.2,3.1,2.2,1.7,4,6.3
3.4,3.1,1,2.2,4.5,2.4,3.3,3.8,2,1.7,1,2,3.5,4.5
2.3,2.3,4.5,3.3,1.6,2.5,3,1.9,2.9,2.2,6,2.8,2.2,1.6
7.3,5.2,5,4.8,5.8,5,4.6,7.2,4.3,5.1,12,2.7,5.2,5.6
8.8,9,8.1,9,10.1,9.7,8.3,9,9,8.6,7.4,8.8,8.6,9.5
410,408,345,398,479,410,392,439,386,376,345,387,404,446
73.7%,74%,67.3%,72.5%,68.6%,62.2%,65%,66.7%,67.5%,68.4%,81.2%,63.2%,69.5%,70.5%
26.9,30.4,22.5,29.4,30,26.1,28,25.5,26.1,25.8,22.4,25.6,28.5,27.2
621,690,519,622,734,554,599,643,529,518,636,515,629,631
1.18,1.38,0.79,1.31,1.75,1.29,1.55,1.24,1.05,1.05,1.28,1.09,1.26,1.41
0.45,0.54,0.26,0.42,0.52,0.54,0.68,0.42,0.33,0.38,0.55,0.36,0.45,0.56
0.23,0.26,0.16,0.34,0.5,0.31,0.37,0.24,0.28,0.22,0.19,0.29,0.27,0.3
0.26,0.26,0.19,0.21,0.21,0.23,0.33,0.15,0.21,0.19,0.22,0.17,0.21,0.24
106,-244,-240,-128,436,-82,-38,357,-272,-157,-703,-269,-44,152
2,-6,-10,-5,8,2,-3,6,-1,-5,-11,-6,-1,2
-19,-117,-124,9,230,50,-143,236,-114,-146,-1083,-213,40,-45
18.2%,9.3%,50%,20%,15.4%,18.6%,42.9%,25%,12.5%,22.2%,0%,24%,26.2%,19.5%
6.8%,14%,0%,20%,2.6%,11.6%,0%,2.5%,12.5%,22.2%,0%,16%,9.5%,4.9%
0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,2,-,5,14,13,-,9,4,3,-,4,10,14
