Andil,BeryL,Delight,Effort,Execute,Kellin,Keria,Lehends,Peter,Pleata,Pollu,Quantum
KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR,KR
SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT,SUPPORT
36,44,41,14,43,42,40,39,44,43,27,7
38.9%,59.1%,73.2%,7.1%,37.2%,50%,80%,87.2%,31.8%,25.6%,25.9%,57.1%
2.2,3.6,6.8,1.5,2.3,4,6,5.8,3.3,2.5,2.6,2.8
0.6,1.3,0.7,0.2,0.5,0.7,1.8,0.7,0.5,0.5,0.6,0.3
4,3,1.6,3.3,3.5,2.3,1.9,1.8,2.3,2.4,2.9,3.3
8.2,9.4,10.5,4.9,7.8,8.4,9.3,9.8,7,5.3,7.1,8.9
1.7,2.4,1.8,1.4,1.3,1.7,2.8,1.9,1.4,1.7,1.3,1.3
256,283,274,241,244,259,311,283,245,244,238,253
74.2%,73.1%,76.9%,84.1%,71.8%,71.4%,68.7%,68.6%,75.1%,74.7%,67.4%,79.7%
10.1,10.3,7.3,8.3,8.2,8.9,13.3,7.3,7.1,9.5,8.5,13
237,238,168,152,176,189,346,181,150,187,176,294
3.11,3.29,3.22,4.16,3.28,3.51,2.86,3.32,3.32,3.32,3.08,3.66
1.59,1.67,1.66,2.28,1.98,1.94,1.59,1.83,1.86,1.92,1.68,1.96
0.48,0.5,0.42,0.69,0.34,0.45,0.34,0.43,0.41,0.43,0.37,0.57
0.37,0.48,0.4,0.66,0.5,0.42,0.41,0.53,0.47,0.46,0.46,0.51
-244,275,146,-469,-123,100,653,39,-269,-149,-405,-12
-6,13,4,-25,-7,1,23,6,-11,-4,-18,2
-176,455,272,-723,-167,-109,708,16,-236,-78,-601,-278
25%,25%,26.8%,21.4%,51.2%,38.1%,22.5%,23.1%,25%,20.9%,18.5%,0%
22.2%,18.2%,7.3%,14.3%,11.6%,7.1%,7.5%,23.1%,6.8%,7%,11.1%,28.6%
0,0,0,0,0,0,0,0,0,0,0,0
-,-,1,-,1,-,6,1,-,1,1,-
